acquisition_duration,current_target_temperature,num_reads,current_speed,new_target_temperature
749,38.5,2,470.56317138671875,
1349,38.5,4,431.58831787109375,
1949,38.5,5,428.49982299804685,
2549,38.5,6,232.95220692952475,
3149,38.5,6,232.95220692952475,
3749,38.5,6,232.95220692952475,
4349,38.5,6,232.95220692952475,
4949,38.5,6,232.95220692952475,
