acquisition_duration,current_target_temperature,num_reads,current_speed,new_target_temperature
747,38.5,3,404.1916198730469,
1347,38.5,6,429.18073018391925,
1947,38.5,8,411.70964431762695,
2547,38.5,9,415.23275417751734,
3147,38.5,11,416.9842251864347,
3747,38.5,14,411.1136234828404,
4347,38.5,17,410.2496230181526,
4947,38.5,21,409.59942045665923,
