acquisition_duration,current_target_temperature,num_reads,current_speed,new_target_temperature
747,38.5,1,329.4892883300781,
1347,38.5,2,364.3306884765625,
1947,38.5,6,178.92281850179037,
2547,38.5,8,239.60665702819824,
3147,38.5,9,259.51703389485675,
3747,38.5,10,272.6404067993164,
4347,38.5,12,251.31706110636392,
4947,38.5,16,189.16488933563232,
