channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
40,1,0,9.09,1.529,False,0,no_sample,AUC747,4.164,1.648,0,0,0,4.114,1.692,18.002,32.839,48.585,-10,-20,-30,1.667,4.251,1.611,3224,multiple,0,7370,42091,211.42,4.03,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,1570,0
41,1,11184,43.43,0.77,True,190,no_sample,AUC747,1.287,1.633,0,1,1,1.375,1.618,8.682,14.207,24.075,-10,-20,-30,-0.186,1.336,1.63,0,single_pore,0,4806,1969,218.83,1.87,0,1,0,-195,3,4270,0,117.38,63.8,20450,0.0,0,23081,0,0,8604,0
42,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
43,1,18048,4.1,0.767,True,139,no_sample,AUC747,1.639,1.612,0,1,1,1.695,1.602,8.825,16.291,24.167,-10,-20,-30,1.41,1.679,1.648,0,single_pore,0,8960,1273,218.25,1.77,0,1,0,-195,3,7886,0,117.91,59.8,35033,0.0,0,14322,0,0,3478,0
44,1,5093,4.58,0.755,True,418,no_sample,AUC747,1.706,1.563,0,1,1,1.733,1.564,8.933,16.255,24.035,-10,-20,-30,1.722,1.682,1.53,0,single_pore,0,1278,1727,216.45,1.49,0,1,0,-195,3,6337,5012,115.39,51.7,13126,0.0,0,33903,0,0,1181,0
45,1,7224,4.97,0.751,True,286,no_sample,AUC747,1.874,1.63,0,1,1,1.961,1.608,9.081,16.344,24.104,-10,-20,-30,1.971,1.902,1.626,0,single_pore,0,5066,2470,217.95,1.83,0,1,0,-195,3,12226,3228,116.97,63.6,24802,0.0,0,17048,0,0,6540,0
46,1,8433,1.83,0.743,True,44,no_sample,AUC747,2.127,1.507,0,1,1,2.277,1.506,9.294,16.629,24.147,-10,-20,-30,2.472,2.249,1.49,0,single_pore,0,17446,1530,214.44,1.55,0,1,0,-195,3,7410,0,109.48,58.7,33333,0.0,0,24011,0,0,93,0
47,1,0,38.63,1.999,False,0,no_sample,AUC747,7.542,1.747,0,0,0,7.546,1.712,24.188,42.245,64.165,-10,-20,-30,1.711,7.49,1.682,9613,multiple,0,0,37998,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,6785,0
48,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
49,1,0,,,False,0,no_sample,AUC747,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,3,0,0,,,0,0.0,0,0,0,0,0,0
