acquisition_duration,current_target_temperature,num_reads,current_speed,new_target_temperature
749,38.5,4,437.7577819824219,
1349,38.5,8,415.95902252197266,
1949,38.5,9,424.4906311035156,
2549,38.5,10,418.5740142822266,
3149,38.5,10,418.5740142822266,
3749,38.5,11,413.7331459738991,
4349,38.5,13,412.5012934758113,
4949,38.5,15,408.6428731282552,
