acquisition_duration,current_target_temperature,num_reads,current_speed,new_target_temperature
747,38.5,1,31.261619567871094,
1347,38.5,1,31.261619567871094,
1947,38.5,1,31.261619567871094,
2547,38.5,2,75.16527557373047,
3147,38.5,2,75.16527557373047,
3747,38.5,2,75.16527557373047,
4347,38.5,3,185.94674173990884,
4947,38.5,4,151.54895114898682,
