channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
44,1,9360,3.88,0.73,True,56,no_sample,AUY346,1.913,1.231,0,1,1,1.94,1.179,8.803,15.906,23.397,-10,-20,-30,1.97,1.95,1.205,0,single_pore,0,9569,869,203.81,1.51,0,1,0,-195,2,6493,1686,111.59,61.9,25478,0.0,0,26830,0,0,0,0
45,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
46,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
47,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
48,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
49,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
50,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
51,1,9665,2.53,0.739,True,89,no_sample,AUY346,1.401,1.342,0,1,1,1.421,1.349,8.393,15.657,23.174,-10,-20,-30,1.297,1.422,1.344,0,single_pore,0,18100,2677,206.2,1.62,0,1,0,-195,2,17231,0,110.77,60.3,45085,0.0,0,5003,0,0,2458,0
52,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
53,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
54,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
55,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
56,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
57,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
58,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
59,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
60,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
61,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
62,1,0,,,False,0,no_sample,AUY346,,,0,0,0,,,,,,-10,-20,-30,,,,0,saturated,0,0,0,,,0,1,0,-195,2,0,0,,,0,0.0,0,0,0,0,0,0
