acquisition_duration,current_target_temperature,num_reads,current_speed,new_target_temperature
748,38.5,2,477.9073486328125,
1348,38.5,3,446.4141337076823,
1948,38.5,5,431.4345642089844,
2548,38.5,5,431.4345642089844,
3148,38.5,7,425.4153050013951,
3748,38.5,11,400.04201438210225,
4348,38.5,12,404.50494384765625,
4948,38.5,14,409.56996372767856,
